Tipo idVideo El_titulo El_genero duración calificación TituloSerie episodio temporada
e 1 ...And_the_Bag's_in_the_River Drama 48 4.7 Breaking_Bad 3 1
e 2 4_Days_Out Drama 47 5 Breaking_Bad 9 2
e 3 A.A.R.M. Comedia 22 4 The_Office 22 9
e 4 A_Benihana_Christmas Comedia 22 3 The_Office 10 3
e 5 A_No-Rough-Stuff-Type_Deal Drama 48 2 Breaking_Bad 7 1
e 6 Abiquiu Drama 47 1 Breaking_Bad 11 3
e 7 ABQ Drama 47 5 Breaking_Bad 13 2
e 8 After_Hours Comedia 22 4 The_Office 16 8
e 9 Andy's_Ancestry Comedia 22 3 The_Office 3 9
e 10 Andy's_Play Comedia 22 2 The_Office 3 7
e 11 Angry_Andy Comedia 22 1 The_Office 21 8
